FIGHTER_ID,FIRST,LAST,NICKNAME,URL
9f5609dba6584ab2,Regina,Malpica Rivera,Kill Bill,http://ufcstats.com/fighter-details/9f5609dba6584ab2
eefc73b53d4a05d7,Dan,Manasoiu,,http://ufcstats.com/fighter-details/eefc73b53d4a05d7
725a834930c2b5bf,Troy,Mandaloniz,Rude Boy,http://ufcstats.com/fighter-details/725a834930c2b5bf
6e9f40c706f91f32,Nate,Maness,Mayhem,http://ufcstats.com/fighter-details/6e9f40c706f91f32
9297ce6eee046f7a,Michael,Mangan,,http://ufcstats.com/fighter-details/9297ce6eee046f7a
1c0ffc63d8ec8f45,Gary,Mangat,,http://ufcstats.com/fighter-details/1c0ffc63d8ec8f45
122ae3b34275fbb2,George,Mangos,,http://ufcstats.com/fighter-details/122ae3b34275fbb2
e5767ed355a937c2,Melvin,Manhoef,No Mercy,http://ufcstats.com/fighter-details/e5767ed355a937c2
b6c6d1731ff00eeb,Melchor,Manibusan,Barracuda,http://ufcstats.com/fighter-details/b6c6d1731ff00eeb
a0602dd050bebefc,Jon,Manley,,http://ufcstats.com/fighter-details/a0602dd050bebefc
0eef1bf99afd4ff2,Steve,Mann,,http://ufcstats.com/fighter-details/0eef1bf99afd4ff2
b6203e0492a9336c,Marnic,Mann,The Sawed-Off Savage,http://ufcstats.com/fighter-details/b6203e0492a9336c
e192ebb85b68fa9e,Dylan,Mantello,The Quiet Man,http://ufcstats.com/fighter-details/e192ebb85b68fa9e
a23e63184c65f5b8,Chris,Manuel,,http://ufcstats.com/fighter-details/a23e63184c65f5b8
1e1dbd1cc5a7469e,Jimi,Manuwa,Poster Boy,http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
530af2900b5a1693,Dom,Mar Fan,Street Buddha,http://ufcstats.com/fighter-details/530af2900b5a1693
ff4c3ab594c7fac3,Cristiano,Marcello,,http://ufcstats.com/fighter-details/ff4c3ab594c7fac3
850266b3dc4e506e,Daniel,Marcos,Soncora,http://ufcstats.com/fighter-details/850266b3dc4e506e
b35ba64b6a2bbcb3,Jose,Maria,No Chance,http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3
72e5e5a6edfa8223,Marcos,Mariano,Dhalsim,http://ufcstats.com/fighter-details/72e5e5a6edfa8223
23a6e307077c6ccc,Enrique,Marin,Wasabi,http://ufcstats.com/fighter-details/23a6e307077c6ccc
e0c6edcb5b5d0b90,Chepe,Mariscal,Machine Gun,http://ufcstats.com/fighter-details/e0c6edcb5b5d0b90
bd21a1e3d41c97ee,Ronny,Markes,,http://ufcstats.com/fighter-details/bd21a1e3d41c97ee
23a16ebe733e3041,Rory,Markham,,http://ufcstats.com/fighter-details/23a16ebe733e3041
4a57ebb14315b251,Randa,Markos,Quiet Storm,http://ufcstats.com/fighter-details/4a57ebb14315b251
c7be22a47a58365a,Christina,Marks,,http://ufcstats.com/fighter-details/c7be22a47a58365a
d7fe8c6b7d2872e5,Brendon,Marotte,The Kid,http://ufcstats.com/fighter-details/d7fe8c6b7d2872e5
a8e6a69796280f17,Nate,Marquardt,The Great,http://ufcstats.com/fighter-details/a8e6a69796280f17
687c15b2eddfaa63,Danilo,Marques,,http://ufcstats.com/fighter-details/687c15b2eddfaa63
d0e1b42d41dab603,Julian,Marquez,The Cuban Missile Crisis,http://ufcstats.com/fighter-details/d0e1b42d41dab603
aa03a3ca00ac6827,Carmelo,Marrero,The Fury,http://ufcstats.com/fighter-details/aa03a3ca00ac6827
e8efeb9cf33b1941,Cesar,Marscucci,,http://ufcstats.com/fighter-details/e8efeb9cf33b1941
b6b12014698cc345,John,Marsh,,http://ufcstats.com/fighter-details/b6b12014698cc345
4c91eb190d5e0dd9,CJ,Marsh,,http://ufcstats.com/fighter-details/4c91eb190d5e0dd9
a08d909a5be6f410,Eliot,Marshall,Fire,http://ufcstats.com/fighter-details/a08d909a5be6f410
0c1773639c795466,Doug,Marshall,The Rhino,http://ufcstats.com/fighter-details/0c1773639c795466
0a2813f89a758ff7,David,Marshall,,http://ufcstats.com/fighter-details/0a2813f89a758ff7
5d495dec23d7c68e,Francis,Marshall,Fire,http://ufcstats.com/fighter-details/5d495dec23d7c68e
045f25b3a4c08e81,Jack,Marshman,The Hammer,http://ufcstats.com/fighter-details/045f25b3a4c08e81
6a92caba39b64752,Terry,Martin,,http://ufcstats.com/fighter-details/6a92caba39b64752
abbc4fc02e0d84b3,Eric,Martin,,http://ufcstats.com/fighter-details/abbc4fc02e0d84b3
3da19339ee7051d5,Justin,Martin,,http://ufcstats.com/fighter-details/3da19339ee7051d5
92c96df8bdab5fea,Dave,Martin,,http://ufcstats.com/fighter-details/92c96df8bdab5fea
325550dab63fb25a,Joe,Martin,,http://ufcstats.com/fighter-details/325550dab63fb25a
5331b25a60417ffb,Anthony Rocco,Martin,,http://ufcstats.com/fighter-details/5331b25a60417ffb
